text,fallacy_type,taxonomy_group,clean_text
"If the argument is supposed to be about whether or not we, as the American public should wear masks, and you argue: ""Asking an infant to wear a mask is ridiculous!""",fallacy of extension,Clarity Fallacy,argument supposed whether american public wear mask argue asking infant wear mask ridiculous
"People have believed that fish is ""brain food"" for decades, so I don't believe the  FDA when they claim that eating fish does not enhance the intellect.",fallacy of credibility,Relevance Fallacy,people believed fish brain food decade dont believe fda claim eating fish enhance intellect
Don't buy any of the clothes made by that company. Most of them are made in China so they must be cheap.,ad hominem,Relevance Fallacy,dont buy clothes made company made china must cheap
"In the United States, one can vote for either Democrats or Republicans.",false dilemma,Presumption Fallacy,united state one vote either democrat republican
"Marriage has traditionally been between a man and a woman; therefore, gay marriage should not be allowed.",fallacy of credibility,Relevance Fallacy,marriage traditionally man woman therefore gay marriage allowed
"Employer: It says here on your resume that you are a hard worker, you pay attention to detail, and you don’t mind working long hours.
Andy: Yes sir.
Employer: I spoke to your previous employer.  He says that you constantly change things that should not be changed, you could care less about other people’s privacy, and you had the lowest score in customer relations.
Andy: Yes, that is all true, as well.
Employer: Great then.  Welcome to our social media team!
",intentional,Clarity Fallacy,employer say resume hard worker pay attention detail dont mind working long hour andy yes sir employer spoke previous employer say constantly change thing changed could care less people privacy lowest score customer relation andy yes true well employer great welcome social medium team
"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",false causality,Presumption Fallacy,shortly myspace became popular u soldier found saddam hussein
Either you eat this meatloaf or you eat nothing.,false dilemma,Presumption Fallacy,either eat meatloaf eat nothing
"First senator: The nation is in debt and we should not add to the defense budget.
Second senator: I cannot believe you want to leave the nation defenseless!",fallacy of extension,Clarity Fallacy,first senator nation debt add defense budget second senator believe want leave nation defenseless
That restaurant is popular because everyone in town goes there.,circular reasoning,Presumption Fallacy,restaurant popular everyone town go
Tens of thousands of Americans have seen lights in the night sky which they could not identify. The existence of life on other planets is fast becoming certainty !,fallacy of logic,Clarity Fallacy,ten thousand american seen light night sky could identify existence life planet fast becoming certainty
"""It is what it is!""",circular reasoning,Presumption Fallacy,
"You didn’t even finish high school, how could you possible know about this?",ad hominem,Relevance Fallacy,didnt even finish high school could possible know
Everyone is doing the Low-Carb Diet.,ad populum,Relevance Fallacy,everyone lowcarb diet
"Person 1: “I am for raising the minimum wage in our state.” Person 2: “She is for raising the minimum wage, but she is not even smart enough to run a business.",ad hominem,Relevance Fallacy,person raising minimum wage state person raising minimum wage even smart enough run business
"Person 1: Bicycle infrastructure should be expanded because cycling is a sustainable mode of transportation.
Person 2: We should not build bike lanes because cyclists run red lights and endanger pedestrians.",fallacy of extension,Clarity Fallacy,person bicycle infrastructure expanded cycling sustainable mode transportation person build bike lane cyclist run red light endanger pedestrian
"My cat sleeps all day, so cats must be pretty lazy.",faulty generalization,Presumption Fallacy,cat sleep day cat must pretty lazy
Which fallacy is used to promote something based on popularity?,ad populum,Relevance Fallacy,fallacy used promote something based popularity
When you have too little or unrepresentative data to make claim.,faulty generalization,Presumption Fallacy,little unrepresentative data make claim
"If you were a true Catholic, you would never eat meat on Friday even if it was the only food available.",ad populum,Relevance Fallacy,true catholic would never eat meat friday even food available
"""My best friend tweeted about the health benefits of pizza, and so we're going to out to eat two vegetable pizzas tonight.""",fallacy of credibility,Relevance Fallacy,best friend tweeted health benefit pizza going eat two vegetable pizza tonight
There's no point listening to you. Everybody knows you're just a little do-gooder.,ad hominem,Relevance Fallacy,there point listening everybody know youre little dogooder
"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion,Relevance Fallacy,know dont like kittycat sweater grandma knitted worked hard make happy see wear family holiday photo
"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic,Clarity Fallacy,bruce american new jersey bruce american therefore new jersey
Justin's mom gets his phone bill and he has gone over the limit. He begins talking to her about how hard his math class is and how well he did on a test today.,fallacy of relevance,Relevance Fallacy,justins mom get phone bill gone limit begin talking hard math class well test today
"""If you do not submit your requirements today, you should drop your classes with Sir Lean.""",false dilemma,Presumption Fallacy,submit requirement today drop class sir lean
Believing that taco bell is healthy for you because everyone else does.,ad populum,Relevance Fallacy,believing taco bell healthy everyone else
"My minister says the Covid vaccine will cause genetic mutations. He has a college degree, and is a holy man, so he must be right.",fallacy of credibility,Relevance Fallacy,minister say covid vaccine cause genetic mutation college degree holy man must right
"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization,Presumption Fallacy,roommate maine love lobster therefore people maine love lobster
We admit that the measure is popular. But we also urge you to note that there are so many bond issues on the ballot that the whole thing is getting ridiculous.,fallacy of relevance,Relevance Fallacy,admit measure popular also urge note many bond issue ballot whole thing getting ridiculous
"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",faulty generalization,Presumption Fallacy,know tv advertisement effective radio number show hit twice audience tv focus group remember tv commercial percent radio slot
This is an example of what logic fallacy?,appeal to emotion,Relevance Fallacy,example logic fallacy
"The medicine man rolled into town on his bandwagon offering various natural remedies, such as very special plain water. He said that it was only natural that people should be wary of 'artificial' medicines such as antibiotics.",fallacy of credibility,Relevance Fallacy,medicine man rolled town bandwagon offering various natural remedy special plain water said natural people wary artificial medicine antibiotic
Over 99 billion people served…,ad populum,Relevance Fallacy,billion people served
The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.,circular reasoning,Presumption Fallacy,witchcraft problem urgent spiritual crisis world today witch threaten soul
"“If we allow gay people to get married, then the next thing you know people will be wanting to marry their pets!”",faulty generalization,Presumption Fallacy,allow gay people get married next thing know people wanting marry pet
"Don’t waste food, people in Marawi are suffering because of hunger.",appeal to emotion,Relevance Fallacy,dont waste food people marawi suffering hunger
"If it barks, it is a dog.
It doesn’t bark.
Therefore, it’s not a dog.",fallacy of logic,Clarity Fallacy,bark dog doesnt bark therefore dog
"I go to my front porch every morning and yell, “May no tigers enter this house!” and for 20 years, not a single tiger has entered my house. My tiger prevention strategy clearly works.",false causality,Presumption Fallacy,go front porch every morning yell may tiger enter house year single tiger entered house tiger prevention strategy clearly work
"In the 6 years that I have been practicing my new and improved brand of cognitive-humanistic-dynamic-behavioral-deconstructive-metaregressive-deontological psychotherapy (now with biofeedback!), which I developed, there has not been one published study showing that it fails to work or that it has ever harmed a patient. It is clearly one of the safest and most effective interventions ever devised.",intentional,Clarity Fallacy,year practicing new improved brand cognitivehumanisticdynamicbehavioraldeconstructivemetaregressivedeontological psychotherapy biofeedback developed one published study showing fails work ever harmed patient clearly one safest effective intervention ever devised
"If you don’t say the Pledge of Allegiance, then you must be a traitor.",false dilemma,Presumption Fallacy,dont say pledge allegiance must traitor
"Person 1: You’re either for the war or against the troops.

Person 2: Actually, I do not want our troops sent into a dangerous war.",false dilemma,Presumption Fallacy,person youre either war troop person actually want troop sent dangerous war
"""Either you pass this test, or you fail it."" Laughed Sr Malak",false dilemma,Presumption Fallacy,either pas test fail laughed sr malak
"If you don't go to camp, you won't have fun this summer, and your whole summer will be ruined!",faulty generalization,Presumption Fallacy,dont go camp wont fun summer whole summer ruined
Is your stupidity inborn?,intentional,Clarity Fallacy,stupidity inborn
"The writer, speaker, or an ad supports a claim with restatements of the same claim. (The argument goes around and around in a circle)",circular reasoning,Presumption Fallacy,writer speaker ad support claim restatement claim argument go around around circle
Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,ad hominem,Relevance Fallacy,course dont like rap hiphop music wear clothes every day zero fashion sense
"It is said that we have a good understanding of our universe.  Therefore, we know exactly how it began and exactly when.",equivocation,Clarity Fallacy,said good understanding universe therefore know exactly began exactly
"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",ad hominem,Relevance Fallacy,died poet allen ginsberg argued favor legalizing pornography ginsberg argument nothing trash ginsberg potsmoking homosexual thoroughgoing advocate drug culture
(Ignoring the Question): when a rebuttal doesn't address the question ,fallacy of relevance,Relevance Fallacy,ignoring question rebuttal doesnt address question
"A: I don't want to visit McDonald's today.
B: So you're just against good food then?
The above is an example of:",fallacy of extension,Clarity Fallacy,dont want visit mcdonalds today b youre good food example
"""I'd like to punch him in the face."" - Donald Trump (Feb. 2016, at a campaign rally, remarks directed at a protester who was being escorted out of the rally.)",appeal to emotion,Relevance Fallacy,id like punch face donald trump feb campaign rally remark directed protester escorted rally
Senator Ribbit is a liar. You shouldn't listen to him on anything.,ad hominem,Relevance Fallacy,senator ribbit liar shouldnt listen anything
There's no way you know this - you're clearly too young to understand!,ad hominem,Relevance Fallacy,there way know youre clearly young understand
Mrs. Sedik really knows math; she would be an excellent math instructor.,fallacy of logic,Clarity Fallacy,mr sedik really know math would excellent math instructor
"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy.",faulty generalization,Presumption Fallacy,asked five closest friend agree new underwater basketweaving team coach jerk therefore im trying team example fallacy
"Dr. X is an engineer, and he doesn’t believe in global warming.",fallacy of credibility,Relevance Fallacy,dr x engineer doesnt believe global warming
Decriminalizing marijuana turns the U.S. into a stoner nation,faulty generalization,Presumption Fallacy,decriminalizing marijuana turn u stoner nation
"""When my parents talk to me about how important it is to learn a second language, I remind them they didn't learn another language.",circular reasoning,Presumption Fallacy,parent talk important learn second language remind didnt learn another language
"People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!",fallacy of logic,Clarity Fallacy,people generally like walk beach beach sand therefore sand floor home would great idea
"Look, it doesn't matter whether or not you think America should build a wall on the border. The President thinks America should do it, so it's a good idea.",fallacy of credibility,Relevance Fallacy,look doesnt matter whether think america build wall border president think america good idea
"Speaker 1: I really think we need to do something about the rising levels of poverty and homelessness in our country.
Speaker 2: Why are you worried about poverty? Look how many children we abort every day.",fallacy of relevance,Relevance Fallacy,speaker really think need something rising level poverty homelessness country speaker worried poverty look many child abort every day
"Mother: It’s bedtime Jane Jane: Mom, how do ants feed their babies? Mother: Don’t know dear, close your eyes now. Jane: But mama, do ant babies cry when they’re hungry?",fallacy of relevance,Relevance Fallacy,mother bedtime jane jane mom ant feed baby mother dont know dear close eye jane mama ant baby cry theyre hungry
"All Catholics are Christian.
All Christians are Jesus lovers.
Therefore, all Jesus lovers are Catholic.",fallacy of logic,Clarity Fallacy,catholic christian christian jesus lover therefore jesus lover catholic
"""You can't believe that theory. No one would believe that. It's too unbelievable.""",fallacy of relevance,Relevance Fallacy,cant believe theory one would believe unbelievable
"""The critical mission was horribly executed."" is an example of ...",appeal to emotion,Relevance Fallacy,critical mission horribly executed example
"All Paul Newman movies are great.
All great movies are Oscar winners.
Therefore, all Oscar winners are Paul Newman movies.",fallacy of logic,Clarity Fallacy,paul newman movie great great movie oscar winner therefore oscar winner paul newman movie
"“The police should stop environmental demonstrators from inconveniencing the general public. We pay our taxes.”
“Surely global meltdown is infinitely worse than a little inconvenience?”",fallacy of relevance,Relevance Fallacy,police stop environmental demonstrator inconveniencing general public pay tax surely global meltdown infinitely worse little inconvenience
"“President Kumail raised taxes, and then the rate of violent crime went up. Kumail is responsible for the rise in crime.”",false causality,Presumption Fallacy,president kumail raised tax rate violent crime went kumail responsible rise crime
"My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!",faulty generalization,Presumption Fallacy,friend said math class hard one im hard math class must hard
Studies show that it takes up to seven years for the human body to digest a piece of gum.,fallacy of credibility,Relevance Fallacy,study show take seven year human body digest piece gum
"Parent: I really don’t want you to smoke pot. It’s still illegal, and could get you into trouble.
Child: Didn’t you smoke pot when you were my age? You must not think it’s a big deal.",ad hominem,Relevance Fallacy,parent really dont want smoke pot still illegal could get trouble child didnt smoke pot age must think big deal
Two words: New Coke.,fallacy of credibility,Relevance Fallacy,two word new coke
"You must obey the law, because it's illegal to break the law.",circular reasoning,Presumption Fallacy,must obey law illegal break law
"""Four legs good, two legs bad""",ad populum,Relevance Fallacy,four leg good two leg bad
"Gus is Christian or Gus is politically liberal.
Gus is a Christian.
Therefore, Gus is not politically liberal.",fallacy of logic,Clarity Fallacy,gu christian gu politically liberal gu christian therefore gu politically liberal
If we get rid of assault weapons for citizens then we will also soon lose freedom of speech and all freedoms as other countries rush in to conquer us (if the zombies don’t exterminate us first!),faulty generalization,Presumption Fallacy,get rid assault weapon citizen also soon lose freedom speech freedom country rush conquer u zombie dont exterminate u first
"Supreme Court Justice Byron White was an All-American football player while in college, so how can you say that athletes are dumb?",faulty generalization,Presumption Fallacy,supreme court justice byron white allamerican football player college say athlete dumb
"Jen: Don’t you realize that all this drinking you are doing is making your family miserable?
Bridget: Yes, I do.
Jen: Then what are you doing about it?
Bridget: Drinking to forget.
",false causality,Presumption Fallacy,jen dont realize drinking making family miserable bridget yes jen bridget drinking forget
Aliens must exist because most people believe in them.,ad populum,Relevance Fallacy,alien must exist people believe
"Of course the Senator from Maine opposes a reduction in naval spending. After all, Bath Ironworks, which produces warships, is in Maine.",ad hominem,Relevance Fallacy,course senator maine opposes reduction naval spending bath ironwork produce warship maine
"""If you don't get an A in Mr. K's class you will fail high school, never graduate, and end up fighting people for nickels under freeway as a career""",faulty generalization,Presumption Fallacy,dont get mr k class fail high school never graduate end fighting people nickel freeway career
"I heard that the Catholic Church was involved in a sex scandal cover-up.  Therefore, my 102-year-old Catholic neighbor, who frequently attends Church, is guilty as well!",faulty generalization,Presumption Fallacy,heard catholic church involved sex scandal coverup therefore yearold catholic neighbor frequently attends church guilty well
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?

Ken: But what is morality exactly?

Mike: It’s a code of conduct shared by cultures.

Ken: But who creates this code?...",fallacy of relevance,Relevance Fallacy,mike morally wrong cheat spouse earth would done ken morality exactly mike code conduct shared culture ken creates code
"I think that we should reject what Father Jones has to say about the ethical issues of abortion because he is a Catholic priest. After all, Father Jones is required to hold such views",ad hominem,Relevance Fallacy,think reject father jones say ethical issue abortion catholic priest father jones required hold view
"Speaker 1: You should trust the Bible because it’s the Word of God.
Speaker 2: How do you know it’s the Word of God?
Speaker 1: Because God tells us it is.
Speaker 2: Where does God tell us this?
Speaker 1: Right here, in the Bible.",circular reasoning,Presumption Fallacy,speaker trust bible word god speaker know word god speaker god tell u speaker god tell u speaker right bible
If you don't say the Pledge of Allegiance you are a traitor.,false dilemma,Presumption Fallacy,dont say pledge allegiance traitor
"I have flipped heads five times in a row.  As a result, the next flip will probably be tails.",false causality,Presumption Fallacy,flipped head five time row result next flip probably tail
blame opponent's policy for the country's problems,false causality,Presumption Fallacy,blame opponent policy country problem
"Don't be out-dated and un-fashionable! Buy the new, modern double-lined heavy duty jeans - the old ripped jeans of the past are out!",intentional,Clarity Fallacy,dont outdated unfashionable buy new modern doublelined heavy duty jean old ripped jean past
A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast.,fallacy of credibility,Relevance Fallacy,commercial claim specific brand cereal best way start day athlete michael jordan say eats every day breakfast
A misrepresentation of an opponent’s position that makes it easier to argue against,fallacy of extension,Clarity Fallacy,misrepresentation opponent position make easier argue
We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,false dilemma,Presumption Fallacy,board either choose approve initial public offering suffer slow annihilation hand competitor
Plagiarism is deceitful because it is dishonest.,circular reasoning,Presumption Fallacy,plagiarism deceitful dishonest
"Bert: How do eyes project an image to your brain?
Ernie: Think of it as a little guy in your brain watching the movie projected by your eyes.
Bert: Ok, but what is happening in the little guy in your head’s brain?
Ernie: Well, think of it as a little guy in his brain watching a movie...
",circular reasoning,Presumption Fallacy,bert eye project image brain ernie think little guy brain watching movie projected eye bert ok happening little guy head brain ernie well think little guy brain watching movie
or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue,ad hominem,Relevance Fallacy,group order discredit idea person group associated distracts reader real issue
"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child.",faulty generalization,Presumption Fallacy,allowing overnight guest dorm room lead nothing trouble promiscuity teen pregnancy eventually bunch unwed mother campus trying complete degree raising child
"I don’t care what scientists say, my mother always told me that the world is flat, and she would never lie to me!",fallacy of credibility,Relevance Fallacy,dont care scientist say mother always told world flat would never lie
"You should eat more green leafy vegetables, because Ms. Lord says so, and she is an expert on grammar and vocabulary.",fallacy of credibility,Relevance Fallacy,eat green leafy vegetable m lord say expert grammar vocabulary
Paranormal activity is real because I've seen a ghost.,circular reasoning,Presumption Fallacy,paranormal activity real ive seen ghost
"My mother always told me that if I went outside right after bathing, during winter, I would catch pneumonia.",faulty generalization,Presumption Fallacy,mother always told went outside right bathing winter would catch pneumonia
"occurs when your opponent over-simplifies or misrepresents your argument (i.e., setting up a ""straw man"") to make it easier to attack or refute",fallacy of extension,Clarity Fallacy,occurs opponent oversimplifies misrepresents argument ie setting straw man make easier attack refute
We cannot support immigrants because we have too many homeless and poor Americans.,false dilemma,Presumption Fallacy,support immigrant many homeless poor american
"Consider the following exchange:
Omar: I think capital punishment is a necessary component of our justice system and should remain legal.
Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
Of what fallacy is Kayla guilty?",fallacy of extension,Clarity Fallacy,consider following exchange omar think capital punishment necessary component justice system remain legal kayla saying murder legal okay u go around killing people think deserve isnt right fallacy kayla guilty
"Sometimes flu vaccines don’t work, therefore vaccines are useless.",faulty generalization,Presumption Fallacy,sometimes flu vaccine dont work therefore vaccine useless
"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",appeal to emotion,Relevance Fallacy,timmy mom dont believe god mom burn hell forever ask timmy reason
"""People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!""",fallacy of logic,Clarity Fallacy,people generally like walk beach beach sand therefore sand floor home would great idea
"Sugar is an essential component of the body...a key material in all sorts of metabolic processes,' neglecting the fact that it is glucose (blood sugar) not ordinary table sugar (sucrose) that is the vital nourishment.",equivocation,Clarity Fallacy,sugar essential component bodya key material sort metabolic process neglecting fact glucose blood sugar ordinary table sugar sucrose vital nourishment
"Angus declares that Scotsmen do not put sugar on their porridge, to which Lachlan points out that he is a Scotsman and puts sugar on his porridge. Furious, like a true Scot, Angus yells that no true Scotsman sugars his porridge.",intentional,Clarity Fallacy,angus declares scotsman put sugar porridge lachlan point scotsman put sugar porridge furious like true scot angus yell true scotsman sugar porridge
Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory.,ad hominem,Relevance Fallacy,discovery archimedes dismissed made bathtub proper university laboratory
"""Andrea Starkk has written several books arguing that the media harms women when it comes to body image. But Starkk is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem,Relevance Fallacy,andrea starkk written several book arguing medium harm woman come body image starkk ugly bitter person shouldnt listen
"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""

This is an example of...",false causality,Presumption Fallacy,baseball pitcher bought new sock pitched winning game new sock caused pitcher throw faster wear new sock every game example
"""That politician wants you to think he loves America. His last rally had 20 American flags flying behind him"" IS an example of this fallacy.",ad populum,Relevance Fallacy,politician want think love america last rally american flag flying behind example fallacy
This fallacy is a distraction from the argument typically with some sentiment that seems to be relevant but isn’t really on-topic.,fallacy of relevance,Relevance Fallacy,fallacy distraction argument typically sentiment seems relevant isnt really ontopic
"Power lines cause cancer. I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.” I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion,Relevance Fallacy,power line cause cancer met little boy cancer lived mile power line looked eye said weak voice please whatever kid wont go going urge vote bill tear power line replace monkey treadmill
“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “,false causality,Presumption Fallacy,sneezed exactly time power went sneeze mustve done something make power go
A commercial about abandoned animals needing shelter or a forever home. They ask for a small donation to help these struggling animals.,appeal to emotion,Relevance Fallacy,commercial abandoned animal needing shelter forever home ask small donation help struggling animal
"Melvin: Boss, why do I have to work weekends when nobody else in the company does?
Boss: Am I sensing insubordination?  I can find another employee very quickly, thanks to Craigslist, you know.
",appeal to emotion,Relevance Fallacy,melvin bos work weekend nobody else company bos sensing insubordination find another employee quickly thanks craigslist know
"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",ad hominem,Relevance Fallacy,salesman car get better average gas mileage one reliable car according consumer report doubt ityou obviously want sell car
President Reagan was a great communicator because he had the knack of talking effectively to the people.,circular reasoning,Presumption Fallacy,president reagan great communicator knack talking effectively people
"Ms. Long has suggested that our schools let students take statistics instead of algebra to graduate. Frankly, it is puzzling to me that she thinks algebra is a useless subject.",fallacy of extension,Clarity Fallacy,m long suggested school let student take statistic instead algebra graduate frankly puzzling think algebra useless subject
Naima is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Naima concludes that the cat's scratch must be the cause of her illness.,false causality,Presumption Fallacy,naima scratched cat visiting friend two day later come fever naima concludes cat scratch must cause illness
"Speaker 1: I think it’s terrible that a game hunter killed Cecil the lion.
Speaker 2: What about all the babies that are killed every day by abortion?",fallacy of relevance,Relevance Fallacy,speaker think terrible game hunter killed cecil lion speaker baby killed every day abortion
"Boris is not qualified to make suggestions about our penal system. As an ex-convict, he would always take the criminals’ side.",ad hominem,Relevance Fallacy,boris qualified make suggestion penal system exconvict would always take criminal side
"Because you found something difficult to understand, or are unaware of how it works, you made out like it is probably not true.",intentional,Clarity Fallacy,found something difficult understand unaware work made like probably true
"Pastor Pete: People are turning to God everywhere!  9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.
Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.",faulty generalization,Presumption Fallacy,pastor pete people turning god everywhere people interviewed said personal relationship jesus christ fred find people interviewed pastor pete church
"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",false dilemma,Presumption Fallacy,someone say either school need fully open immediately student wear mask teacher communist
"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality,Presumption Fallacy,farmer mcdonald ever since put new power plant across river havent bit rain im tellin mankind got big britches fiddle around nature
"My doctor is overweight, so I don't believe anything he tells me about improving my health.",ad hominem,Relevance Fallacy,doctor overweight dont believe anything tell improving health
"Even without watching the movie, I just know that it would not be as good as the book.",faulty generalization,Presumption Fallacy,even without watching movie know would good book
Bob Jones is a monster who likes to separate immigrant families in detention centers. How could you vote for someone like that??,fallacy of extension,Clarity Fallacy,bob jones monster like separate immigrant family detention center could vote someone like
"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension,Clarity Fallacy,people dont support proposed state minimum wage increase hate poor
You can't believe Bob's idea. He's a socialist.,ad hominem,Relevance Fallacy,cant believe bob idea he socialist
You are either a leader or a follower.,false dilemma,Presumption Fallacy,either leader follower
"Joseph can’t be class president, he’s poor!”",ad hominem,Relevance Fallacy,joseph cant class president he poor
My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of extension,Clarity Fallacy,opponent argues abolish soda tax shame want encourage people eat drink unhealthily say keep
"""Because I forgot to leave my porch light on, someone robbed my house.""",false causality,Presumption Fallacy,forgot leave porch light someone robbed house
Some people say that the coronavirus is dangerous. Others say that it is not dangerous. That must mean that some coronavirus vaccinations are fine while others are not.,fallacy of relevance,Relevance Fallacy,people say coronavirus dangerous others say dangerous must mean coronavirus vaccination fine others
Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.,false causality,Presumption Fallacy,eating five candy bar drinking two soda test help get better grade got last test history
This happens when you assume that something is acceptable just because it is very common.,ad populum,Relevance Fallacy,happens assume something acceptable common
"If I don’t take this A.P. class, then I won’t do well on the exam. If I don’t do well on the A.P. exam, then I can’t get into a good college. If I can’t get into a good college, then I’ll never get a good job. If I can’t get a good job, then I’m going to have to live in my parents’ basement forever. Guess I’ll sign up for the A.P. class.",faulty generalization,Presumption Fallacy,dont take ap class wont well exam dont well ap exam cant get good college cant get good college ill never get good job cant get good job im going live parent basement forever guess ill sign ap class
"You got a cold two nights ago but last night you stayed up really late and now you are no longer sick, so it must be because you stayed up really late last night. What fallacy is being committed?",false causality,Presumption Fallacy,got cold two night ago last night stayed really late longer sick must stayed really late last night fallacy committed
"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble.",faulty generalization,Presumption Fallacy,type car poorly made friend mine one continually give trouble
"Autumn is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise the library will be forced to close.""

Of what fallacy is this an example?",false dilemma,Presumption Fallacy,autumn trying raise money university library address board trustee say must raise tuition cover cost new book otherwise library forced close fallacy example
"If we don’t bail out the big automakers, the US economy will collapse.  Therefore, we need to bail out the automakers.",appeal to emotion,Relevance Fallacy,dont bail big automaker u economy collapse therefore need bail automaker
Verizon advertising the newest Samsung Galaxy phone that they claim everyone else who has bought it loves the new product.,ad populum,Relevance Fallacy,verizon advertising newest samsung galaxy phone claim everyone else bought love new product
I think that businesses should not have to limit the amount of pollutants they  release into the atmosphere because Rush Limbaugh says that there is no real  evidence for industrial pollutants causing the Greenhouse Effect.,fallacy of credibility,Relevance Fallacy,think business limit amount pollutant release atmosphere rush limbaugh say real evidence industrial pollutant causing greenhouse effect
I don’t see what’s wrong with engaging the services of a professional escort.,appeal to emotion,Relevance Fallacy,dont see whats wrong engaging service professional escort
"""Dra. Vicky Belo said that all kind of cars need fuel to start.""

What fallacy is being committed in the sentence above?",fallacy of credibility,Relevance Fallacy,dra vicky belo said kind car need fuel start fallacy committed sentence
We surveyed all the customers in the store and they all agreed that staying open 24 hours would be a great idea. We need to put together a 24-hour schedule as soon as possible.,ad populum,Relevance Fallacy,surveyed customer store agreed staying open hour would great idea need put together hour schedule soon possible
John agrees with me that drinking energy drinks are bad for you. ,fallacy of credibility,Relevance Fallacy,john agrees drinking energy drink bad
"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion,Relevance Fallacy,know dont like kittycat sweater grandma knitted worked hard make happy see wear family holiday photo
"Dicky: So how do you think life began?
Ralphie: Simple.  Aliens from another planet seeded this planet with life billions of years ago.
Dicky: OK, but how did that alien life form begin?
Ralphie: Simple.  Aliens from another planet seeded that planet with life.
",circular reasoning,Presumption Fallacy,dicky think life began ralphie simple alien another planet seeded planet life billion year ago dicky ok alien life form begin ralphie simple alien another planet seeded planet life
"Thanks to her enduring popularity with employees, Annie Smith is the best-liked CEO in our company's history.",ad hominem,Relevance Fallacy,thanks enduring popularity employee annie smith bestliked ceo company history
"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun.",ad populum,Relevance Fallacy,justin beiber wear ray ban buy pair wear sun
God exists because the Bible says so. The Bible is a reliable source because it is the  word of God.,circular reasoning,Presumption Fallacy,god exists bible say bible reliable source word god
"Ralph Nader and Pat Buchanan are banging at the doors, and the political establishment, consisting of both politicians and the media, seems determined not to let them in on the grounds that they have no public support.",circular reasoning,Presumption Fallacy,ralph nader pat buchanan banging door political establishment consisting politician medium seems determined let ground public support
marijuana shouldn’t be legalized because it wasn’t socially acceptable.,circular reasoning,Presumption Fallacy,marijuana shouldnt legalized wasnt socially acceptable
